sheet_name,sheet_variant,sheet_sku,db_name,db_variant,db_sku
Teak Wood - Stainless Steel Xylophone,15 Keys,MI-XY-TW-15,Teak Wood - Stainless Steel Xylophone,15 Keys,MI-XY-TW-15
Bird Flute,Brown / Single,MI-BF-BN-S,Bird Flute,Brown / Single,MI-BF-BN-S
Bird Flute,Brown / Pair,MI-BF-BN-P,Bird Flute,Brown / Pair,MI-BF-BN-P
7-Key Kalimba Made from Coconut Shell,Plain Etched,MI-KCS-PE,7-Key Kalimba Made from Coconut Shell,Plain Etched,MI-KCS-PE
7-Key Kalimba Made from Coconut Shell,Dot Painted,MI-KCS-DP,7-Key Kalimba Made from Coconut Shell,Dot Painted,MI-KCS-DP
Asalato / Kashaka Shaker,Plain / Single,MI-AS,Asalato / Kashaka Shaker,Single / Plain,MI-AS
Asalato / Kashaka Shaker,Plain / Pair,MI-AS-2,Asalato / Kashaka Shaker,Pair / Plain,MI-AS-2
Asalato / Kashaka Shaker,Painted / Single,MI-AS-P,Asalato / Kashaka Shaker,Single / Painted,MI-AS-P
Asalato / Kashaka Shaker,Painted / Pair,MI-AS-P-2,Asalato / Kashaka Shaker,Pair / Painted,MI-AS-P-2
Bamboo Castanet,Standard,MI-CN,Bamboo Castanet,Standard,MI-CN
Bamboo Rainstick Wide-80cm,Wide 80cm,MI-RS-W-80,Bamboo Rainstick Wide-80cm,Wide 80cm,MI-RS-W-80
Caxixi,Standard,MI-CX,Caxixi,Standard,MI-CX
Coconut Maracas Shakers,Plain,MI-CMS,Coconut Maracas Shakers,Plain,MI-CMS
Coconut Maracas Shakers,Dot Painted,MI-CMS-DP,Coconut Maracas Shakers,Dot Painted,MI-CMS-DP
Wooden Maracas Shakers | Plain & Dot Painted,Plain,MI-WMS,Wooden Maracas Shakers | Plain & Dot Painted,Plain,MI-WMS
Wooden Maracas Shakers | Plain & Dot Painted,Dot Painted,MI-WMS-DP,Wooden Maracas Shakers | Plain & Dot Painted,Dot Painted,MI-WMS-DP
Egg Shaker with Handle,,MI-ES-H,Egg Shaker with Handle,,MI-ES-H
Painted Egg Shakers,,MI-ES,Painted Egg Shakers,,MI-ES
Handheld Natural Coconut Shaker,,MI-CS-HH,Handheld Natural Coconut Shaker,,MI-CS-HH
Mini Coconut Shakers - 3 Types,Round Shaped,MI-CS-RS,Mini Coconut Shakers - 3 Types,Round Shaped,MI-CS-RS
Mini Coconut Shakers - 3 Types,Square Shaped,MI-CS-SS,Mini Coconut Shakers - 3 Types,Square Shaped,MI-CS-SS
Mini Coconut Shakers - 3 Types,Eye Shaped,MI-CS-ES,Mini Coconut Shakers - 3 Types,Eye Shaped,MI-CS-ES
