slug,name,woo_id,status,product_type,hsn_code,tax_class,desc_len,short_len,video_url,audio_url,variant_count,product_images,variant_images,accordion_count,shipping_rate_rows,article_slug_count,relation_count,catalog_hidden
event-checkout-immersive-sound-bath-experience-with-yoganidra,Immersive Sound Bath Experience with yoganidra,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,64,"","",1,1,0,0,0,0,0,true
event-checkout-purnimaya,"PURNIMAYA- Etheric Sounds, Mantras and Movement under the Full Moon's glow","",ACTIVE,DIGITAL,"",gst-zero-rate,0,92,"","",1,1,0,0,0,0,0,true
event-checkout-shamanic-breathwork,Shamanic Breathwork with Soundbath Experience by Nandini Shastri,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,82,"","",1,1,0,0,0,0,0,true
event-checkout-sonic-exploration,Sonic Exploration- Awaken the Inner Musician Within,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,69,"","",1,1,0,0,0,0,0,true
event-checkout-the-hum,The Hum: Meditative Sound Bath Experience in Mysore,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,69,"","",1,1,0,0,0,0,0,true
extra-large-meridian-singing-bowls,Extra Large Meridian Singing Bowls,43286,ACTIVE,VARIABLE,"",gst-5,102,863,"","",10,5,6,7,40,0,4,false
eye-pillow,Eye Pillow,"",ACTIVE,SIMPLE,8765,gst-5,26,22,"","",1,1,0,1,4,0,0,false
eye-shaped-natural-lavender-scented-eye-pillows,Eye Shaped Natural Lavender Scented Eye Pillows,9220,ACTIVE,VARIABLE,"",gst18,0,671,"","",5,18,5,7,20,0,5,false
flower-of-life-with-sacred-symbols-singing-bowls,Flower of Life with Sacred Symbols Singing Bowls,10035,ACTIVE,VARIABLE,"",gst-5,4,1709,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/FoL-8-inch.mp3,12,13,12,7,48,0,5,false
full-moon-singing-bowls-all-sizes,Full Moon Singing Bowls - All Sizes,7607,ACTIVE,VARIABLE,"",gst-5,103,554,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/Handmade-5-inch.mp3,9,13,9,7,36,0,0,false
gong-bags,Gong Bags,45152,ACTIVE,VARIABLE,"",gst18,356,356,"","",2,1,2,7,8,0,3,false
gong-stand,Gong Stand,45289,ACTIVE,VARIABLE,"",gst12,611,611,"","",8,1,0,7,32,0,3,false
grooved-hammered-plain-copper-bottle,"Grooved, Hammered & Plain Copper Bottle",6071,ACTIVE,VARIABLE,"",gst-5,0,528,"","",12,13,12,7,48,0,0,false
handcrafted-set-of-7-bowls-for-sound-therapy,Handcrafted Set of 7 Bowls for Sound Therapy,7887,ACTIVE,VARIABLE,"",gst-5,0,931,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/09/7-Chakras-Medium-Set.mp3,6,8,6,7,24,0,8,false
handheld-natural-coconut-shaker,Handheld Natural Coconut Shaker,5713,ACTIVE,SIMPLE,"",gst-5,0,489,"","",1,11,0,7,4,0,0,false
handmade-lingam-singing-bowl,Handmade Lingam Singing Bowl,9936,DRAFT,VARIABLE,"",gst-5,0,400,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/Lingam-9-inch-.mp3,7,6,0,7,28,0,3,false
handmade-singing-bowls-all-sizes,Handmade Singing Bowls - All Sizes,6884,ACTIVE,VARIABLE,"",gst-5,0,0,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/Handmade-5-inch.mp3,18,1,13,7,72,0,5,false
