sku,sheet_name,sheet_variant,sheet_invoiced,ls_product_slug,ls_sale,ls_mrp,ls_status,price_match
Yo-BL-D-SB,Yoga Belt/Strap for Sturdy Grip,Sky Blue,145.0,yoga-belt-strap-for-sturdy-grip,345.0,470.0,ACTIVE,False
Yo-BL-D-BE,Yoga Belt/Strap for Sturdy Grip,Beige,145.0,yoga-belt-strap-for-sturdy-grip,345.0,470.0,ACTIVE,False
Yo-BL-D-GR,Yoga Belt/Strap for Sturdy Grip,Green,145.0,yoga-belt-strap-for-sturdy-grip,345.0,470.0,ACTIVE,False
Yo-BL-D-NB,Yoga Belt/Strap for Sturdy Grip,Navy Blue,145.0,yoga-belt-strap-for-sturdy-grip,345.0,470.0,ACTIVE,False
Yo-BL-D-RE,Yoga Belt/Strap for Sturdy Grip,Rose,145.0,yoga-belt-strap-for-sturdy-grip,345.0,470.0,ACTIVE,False
Yo-BT-C-MG,Yoga Blanket made from Organic Cotton,Magenta,690.0,yoga-blanket-made-from-organic-cotton,1395.0,1820.0,ACTIVE,False
Yo-BT-C-BW,Yoga Blanket made from Organic Cotton,Brown,690.0,yoga-blanket-made-from-organic-cotton,1395.0,1820.0,ACTIVE,False
Yo-BT-C-NT,Yoga Blanket made from Organic Cotton,Natural White,595.0,yoga-blanket-made-from-organic-cotton,1295.0,1690.0,ACTIVE,False
Me-C-Zn-NB,Zabuton Cushion for Meditation,Navy Blue,1080.0,zabuton-cushion-for-meditation,1995.0,2450.0,ACTIVE,False
Me-C-Zn-GY,Zabuton Cushion for Meditation,Grey,1080.0,zabuton-cushion-for-meditation,1995.0,2450.0,ACTIVE,False
Me-C-Zn-LG,Zabuton Cushion for Meditation,Light Grey,1080.0,zabuton-cushion-for-meditation,1995.0,2450.0,ACTIVE,False
Me-C-Zn-LR,Zabuton Cushion for Meditation,Lavender,1080.0,zabuton-cushion-for-meditation,1995.0,2450.0,ACTIVE,False
Me-C-Zn-MB,Zabuton Cushion for Meditation,Misty Blue,1080.0,zabuton-cushion-for-meditation,1995.0,2450.0,ACTIVE,False
Co-Me-C-Z-Zn-LG,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,Light Grey,1480.0,zafu-zabuton-meditation-cushion-combo,2795.0,3295.0,ACTIVE,False
Co-Me-C-Z-Zn-LR,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,Lavender,1480.0,zafu-zabuton-meditation-cushion-combo,2795.0,3295.0,ACTIVE,False
Co-Me-C-Z-Zn-MB,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,Misty Blue,1480.0,zafu-zabuton-meditation-cushion-combo,2795.0,3295.0,ACTIVE,False
CO-Me-Zf-Zn-C-NB,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,Navy Blue,1480.0,zafu-zabuton-meditation-cushion-combo,2795.0,3295.0,ACTIVE,False
Co-Me-C-Z-Zn-LR-E-L,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,Lavender,1545.0,zafu-zabuton-meditation-cushion-combo-lotus-embroidery,2995.0,3500.0,ACTIVE,False
Co-Me-C-Z-Zn-LG-E-L,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,Light Grey,1545.0,zafu-zabuton-meditation-cushion-combo-lotus-embroidery,2995.0,3500.0,ACTIVE,False
