product_slug,sku,is_default,status,mrp_paise,sale_paise,mrp_usd_cents,sale_usd_cents,video_url,variant_images,attrs,shipping_rows
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-R-14,false,ACTIVE,38400,29500,730,650,"",1,colour=Red;size=14 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-R-16,false,ACTIVE,42300,32500,780,700,"",1,colour=Red;size=16 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-R-18,false,ACTIVE,44900,34500,840,750,"",1,colour=Red;size=18 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-R-20,false,ACTIVE,54500,49500,1000,890,"",1,colour=Red;size=20 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-R-22,false,ACTIVE,65500,59500,1110,990,"",1,colour=Red;size=22 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Y-10,false,ACTIVE,20900,19000,620,550,"",1,colour=Yellow;size=10 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Y-12,false,ACTIVE,24200,22000,670,600,"",1,colour=Yellow;size=12 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Y-14,false,ACTIVE,32500,29500,730,650,"",1,colour=Yellow;size=14 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Y-16,false,ACTIVE,35800,32500,780,700,"",1,colour=Yellow;size=16 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Y-18,false,ACTIVE,42400,38500,840,750,"",1,colour=Yellow;size=18 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Y-20,false,ACTIVE,54500,49500,1000,890,"",1,colour=Yellow;size=20 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Y-22,false,ACTIVE,65500,59500,1110,990,"",1,colour=Yellow;size=22 cms,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-B-3.5,false,ACTIVE,168400,129500,2410,2150,"",1,color=Blue;size=3.5 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-B-4,false,ACTIVE,200900,154500,2860,2550,"",1,color=Blue;size=4 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-B-5.5,true,ACTIVE,259400,199500,3530,3150,"",1,color=Blue;size=5.5 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-BK-3.5,false,ACTIVE,168400,129500,2410,2150,"",1,color=Black;size=3.5 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-BK-4,false,ACTIVE,200900,154500,"","","",1,color=Black;size=4 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-BK-5.5,false,ACTIVE,259400,199500,"","","",1,color=Black;size=5.5 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-G-3.5,false,ACTIVE,168400,129500,2410,2150,"",1,color=Green;size=3.5 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-G-4,false,ACTIVE,200900,154500,"","","",1,color=Green;size=4 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-G-5.5,false,ACTIVE,259400,199500,3530,3150,"",1,color=Green;size=5.5 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-R-3.5,false,ACTIVE,168400,129500,2410,2150,"",1,color=Red;size=3.5 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-R-4,false,ACTIVE,200900,154500,"","","",1,color=Red;size=4 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-R-5.5,false,ACTIVE,259400,199500,3530,3150,"",1,color=Red;size=5.5 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-W-3.5,false,ACTIVE,168400,129500,2410,2150,"",1,color=Gold;size=3.5 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-W-4,false,ACTIVE,200900,154500,2860,2550,"",1,color=Gold;size=4 Inches,4
singing-bowls-with-sacred-mantra-printed,MI-SB-P-W-5.5,false,ACTIVE,259400,199500,"","","",1,color=Gold;size=5.5 Inches,4
singing-bowl-with-handle,MI-SB-BH,true,ACTIVE,995000,875000,11000,9700,"",0,"",4
singing-bowl-with-mantra-rustic-blue-colour,MI-SB-RB-6,true,ACTIVE,187900,144500,2600,2250,"",1,size=6 inches,4
singing-bowl-with-mantra-rustic-blue-colour,MI-SB-RB-7,false,ACTIVE,226900,174500,3100,2750,"",1,size=7 Inches,4
solar-bell,woo-49816,true,ACTIVE,1399900,1299900,15000,14000,"",0,"",0
spin-twist-drum-or-den-den-daiko,MI-TD-RB,false,ACTIVE,87500,79500,1390,1250,"",1,type=Small 3 in,4
