id,slug,name,type,sku,parent,has_options,prices_currency,variation_count,image_count,short_desc_len,desc_len,permalink
47742,bendo-shaker,Bendo Shaker,variable,,0,True,INR,2,1,557,557,https://sarveda.com/store/sound-musical-instruments/rattles-shakers/bendo-shaker/
47751,bendo-chimes,Bendo Chimes,simple,,0,False,INR,0,1,649,333,https://sarveda.com/store/sound-musical-instruments/chimes/bendo-chimes/
47508,crescent-zafu-cushion-wide,Crescent Zafu Cushion &#8211; Compact,variable,,0,True,INR,5,1,1215,1184,https://sarveda.com/store/yoga-and-meditation/meditation-cushions-benches/crescent-zafu-cushion-wide/
47494,crescent-zafu-cushion-compact,Crescent Zafu Cushion &#8211; Wide,variable,,0,True,INR,3,1,1165,1165,https://sarveda.com/store/yoga-and-meditation/meditation-cushions-benches/crescent-zafu-cushion-compact/
47081,crystal-bowl-bag,Crystal Bowl Bag,variable,,0,True,INR,3,1,1827,294,https://sarveda.com/store/sound-musical-instruments/crystal-bowls/crystal-bowl-bag/
46907,handpan-stand,Handpan Stand,simple,,0,False,INR,0,5,616,210,https://sarveda.com/store/sound-musical-instruments/handpans-tongue-drum/handpan-stand/
46525,aluminium-22-steel-bars-chime,Aluminium 22 Steel Bars Chime,simple,,0,False,INR,0,3,574,241,https://sarveda.com/store/sound-musical-instruments/chimes/aluminium-22-steel-bars-chime/
46498,bamboo-jaw-harp,Bamboo Jaw Harp,simple,MI-BJH,0,False,INR,0,3,574,183,https://sarveda.com/store/sound-musical-instruments/kids/bamboo-jaw-harp/
46495,mini-bamboo-slide-whistle,Mini Bamboo Slide Whistle,variable,MI-BSW,0,True,INR,3,3,2623,234,https://sarveda.com/store/sound-musical-instruments/kids/mini-bamboo-slide-whistle/
46220,plain-yoga-mats,Plain Yoga Mats,variable,,0,True,INR,8,17,856,432,https://sarveda.com/store/yoga-and-meditation/yoga-mats-props/plain-yoga-mats/
46171,lotus-yoga-mat,Lotus Yoga Mat,variable,,0,True,INR,8,13,1006,340,https://sarveda.com/store/yoga-and-meditation/yoga-mats-props/lotus-yoga-mat/
46141,7-chakras-yoga-mats,7 Chakras Yoga Mats,variable,,0,True,INR,8,1,997,432,https://sarveda.com/store/yoga-and-meditation/yoga-mats-props/7-chakras-yoga-mats/
45754,bird-flute,Bird Flute,variable,,0,True,INR,5,5,837,837,https://sarveda.com/store/sound-musical-instruments/kids/bird-flute/
